CMDLINE /usr/bin/python3 detect_video.py
MEM 601.960938 1628090733.5716
MEM 601.960938 1628090733.6724
MEM 602.191406 1628090733.7734
MEM 602.191406 1628090733.8743
MEM 602.191406 1628090733.9752
MEM 602.191406 1628090734.0761
MEM 602.191406 1628090734.1770
MEM 602.191406 1628090734.2777
MEM 602.191406 1628090734.3785
MEM 602.191406 1628090734.4793
MEM 602.191406 1628090734.5801
MEM 602.191406 1628090734.6809
MEM 602.191406 1628090734.7816
MEM 602.191406 1628090734.8824
MEM 602.191406 1628090734.9832
MEM 602.191406 1628090735.0841
MEM 602.191406 1628090735.1851
MEM 602.269531 1628090735.2859
MEM 602.269531 1628090735.3868
MEM 602.269531 1628090735.4876
MEM 602.269531 1628090735.5885
MEM 602.269531 1628090735.6894
MEM 602.269531 1628090735.7902
MEM 602.269531 1628090735.8910
MEM 602.269531 1628090735.9918
MEM 602.269531 1628090736.0928
MEM 602.269531 1628090736.1935
MEM 602.269531 1628090736.2944
MEM 602.269531 1628090736.3952
MEM 602.269531 1628090736.4960
MEM 602.269531 1628090736.5968
MEM 602.269531 1628090736.6976
MEM 602.269531 1628090736.7984
MEM 602.269531 1628090736.8991
MEM 602.269531 1628090736.9999
MEM 602.269531 1628090737.1008
MEM 602.269531 1628090737.2016
MEM 602.269531 1628090737.3024
MEM 602.269531 1628090737.4033
MEM 602.523438 1628090737.5041
MEM 602.523438 1628090737.6050
MEM 602.523438 1628090737.7058
MEM 602.523438 1628090737.8066
MEM 602.523438 1628090737.9074
MEM 602.523438 1628090738.0083
MEM 602.523438 1628090738.1093
MEM 602.523438 1628090738.2101
MEM 602.523438 1628090738.3110
MEM 602.523438 1628090738.4118
MEM 602.523438 1628090738.5127
MEM 602.523438 1628090738.6136
MEM 602.523438 1628090738.7145
MEM 602.523438 1628090738.8152
MEM 602.523438 1628090738.9160
MEM 602.523438 1628090739.0169
MEM 602.523438 1628090739.1178
MEM 602.523438 1628090739.2187
MEM 602.769531 1628090739.3195
MEM 602.769531 1628090739.4202
MEM 602.769531 1628090739.5211
MEM 602.769531 1628090739.6220
MEM 602.769531 1628090739.7228
MEM 602.769531 1628090739.8235
MEM 602.769531 1628090739.9243
MEM 602.769531 1628090740.0251
MEM 602.769531 1628090740.1260
MEM 602.769531 1628090740.2269
MEM 602.769531 1628090740.3278
MEM 602.769531 1628090740.4287
MEM 602.769531 1628090740.5294
MEM 602.769531 1628090740.6303
MEM 602.769531 1628090740.7311
MEM 602.769531 1628090740.8319
MEM 602.769531 1628090740.9327
MEM 602.769531 1628090741.0335
MEM 602.769531 1628090741.1343
MEM 603.019531 1628090741.2351
MEM 603.019531 1628090741.3359
MEM 603.019531 1628090741.4367
MEM 603.019531 1628090741.5373
MEM 603.019531 1628090741.6381
MEM 603.019531 1628090741.7389
MEM 603.019531 1628090741.8397
MEM 603.019531 1628090741.9405
MEM 603.019531 1628090742.0414
MEM 603.019531 1628090742.1423
MEM 603.019531 1628090742.2433
MEM 603.019531 1628090742.3441
MEM 603.019531 1628090742.4449
MEM 603.019531 1628090742.5458
MEM 603.019531 1628090742.6467
MEM 603.019531 1628090742.7475
MEM 603.019531 1628090742.8483
MEM 603.261719 1628090742.9492
MEM 603.261719 1628090743.0500
MEM 603.261719 1628090743.1508
MEM 603.261719 1628090743.2517
MEM 603.261719 1628090743.3525
MEM 603.261719 1628090743.4534
MEM 603.261719 1628090743.5543
MEM 621.277344 1628090743.6656
MEM 657.335938 1628090743.7665
MEM 657.335938 1628090743.8673
MEM 657.335938 1628090743.9682
MEM 657.593750 1628090744.0691
MEM 657.605469 1628090744.1699
MEM 657.605469 1628090744.2707
MEM 657.605469 1628090744.3717
MEM 657.605469 1628090744.4725
MEM 657.605469 1628090744.5736
MEM 657.605469 1628090744.6745
MEM 657.605469 1628090744.7754
MEM 657.605469 1628090744.8762
MEM 657.605469 1628090744.9772
MEM 657.855469 1628090745.0779
MEM 657.855469 1628090745.1787
MEM 657.855469 1628090745.2795
MEM 657.855469 1628090745.3803
MEM 657.855469 1628090745.4813
MEM 657.855469 1628090745.5821
MEM 657.855469 1628090745.6830
MEM 657.855469 1628090745.7838
MEM 657.855469 1628090745.8846
MEM 657.855469 1628090745.9856
MEM 657.855469 1628090746.0863
MEM 712.140625 1628090746.1872
MEM 712.140625 1628090746.2881
MEM 712.140625 1628090746.3890
MEM 712.140625 1628090746.4899
MEM 712.140625 1628090746.5907
MEM 712.140625 1628090746.6915
MEM 712.140625 1628090746.7922
MEM 712.406250 1628090746.8931
MEM 712.406250 1628090746.9939
MEM 712.406250 1628090747.0949
MEM 712.406250 1628090747.1957
MEM 712.406250 1628090747.2966
MEM 712.406250 1628090747.3974
MEM 712.406250 1628090747.4982
MEM 712.406250 1628090747.5990
MEM 712.406250 1628090747.6998
MEM 712.406250 1628090747.8005
MEM 712.640625 1628090747.9014
MEM 712.640625 1628090748.0022
MEM 712.640625 1628090748.1030
MEM 712.714844 1628090748.2038
MEM 712.714844 1628090748.3046
MEM 712.714844 1628090748.4055
MEM 712.714844 1628090748.5063
MEM 712.714844 1628090748.6072
MEM 712.714844 1628090748.7080
MEM 712.714844 1628090748.8088
MEM 712.714844 1628090748.9097
MEM 712.714844 1628090749.0105
MEM 712.714844 1628090749.1113
MEM 712.714844 1628090749.2121
MEM 712.714844 1628090749.3131
